location_lact_list,Lactation Group,date_time_period_start,date_time_period_end,ct_animal_days_elig,days_in_time_period,deno_type,dop_start,dop_end,dop_in_interval,dop_complete,day_of_phase_group,metric,ct
Herd 2108e,Heifer,2020-10-05,2021-10-06,93135,366,dop_lact_basic,240,269,29,incomplete,240 to 269,ct_animal_time_periods,254.4672131147541
Herd 2108e,Heifer,2020-10-05,2021-10-06,671771,366,dop_lact_basic,270,299,29,complete,270 to 299,ct_animal_lactations,2260
Herd 2108e,Heifer,2020-10-05,2021-10-06,671771,366,dop_lact_basic,270,299,29,complete,270 to 299,ct_animals,2260
Herd 2108e,Heifer,2020-10-05,2021-10-06,671771,366,dop_lact_basic,270,299,29,complete,270 to 299,ct_animal_time_periods,1835.4398907103825
Herd 2108e,Heifer,2020-10-05,2021-10-06,96162,366,dop_lact_basic,270,299,29,incomplete,270 to 299,ct_animal_lactations,395
Herd 2108e,Heifer,2020-10-05,2021-10-06,96162,366,dop_lact_basic,270,299,29,incomplete,270 to 299,ct_animals,395
Herd 2108e,Heifer,2020-10-05,2021-10-06,96162,366,dop_lact_basic,270,299,29,incomplete,270 to 299,ct_animal_time_periods,262.73770491803276
Herd 2108e,Heifer,2020-10-05,2021-10-06,653490,366,dop_lact_basic,300,329,29,complete,300 to 329,ct_animal_lactations,2105
Herd 2108e,Heifer,2020-10-05,2021-10-06,653490,366,dop_lact_basic,300,329,29,complete,300 to 329,ct_animals,2105
Herd 2108e,Heifer,2020-10-05,2021-10-06,653490,366,dop_lact_basic,300,329,29,complete,300 to 329,ct_animal_time_periods,1785.4918032786886
Herd 2108e,Heifer,2020-10-05,2021-10-06,91273,366,dop_lact_basic,300,329,29,incomplete,300 to 329,ct_animal_lactations,355
Herd 2108e,Heifer,2020-10-05,2021-10-06,91273,366,dop_lact_basic,300,329,29,incomplete,300 to 329,ct_animals,355
Herd 2108e,Heifer,2020-10-05,2021-10-06,91273,366,dop_lact_basic,300,329,29,incomplete,300 to 329,ct_animal_time_periods,249.37978142076503
Herd 2108e,Heifer,2020-10-05,2021-10-06,636966,366,dop_lact_basic,330,359,29,complete,330 to 359,ct_animal_lactations,1958
Herd 2108e,Heifer,2020-10-05,2021-10-06,636966,366,dop_lact_basic,330,359,29,complete,330 to 359,ct_animals,1958
Herd 2108e,Heifer,2020-10-05,2021-10-06,636966,366,dop_lact_basic,330,359,29,complete,330 to 359,ct_animal_time_periods,1740.344262295082
Herd 2108e,Heifer,2020-10-05,2021-10-06,92913,366,dop_lact_basic,330,359,29,incomplete,330 to 359,ct_animal_lactations,368
Herd 2108e,Heifer,2020-10-05,2021-10-06,92913,366,dop_lact_basic,330,359,29,incomplete,330 to 359,ct_animals,368
Herd 2108e,Heifer,2020-10-05,2021-10-06,92913,366,dop_lact_basic,330,359,29,incomplete,330 to 359,ct_animal_time_periods,253.86065573770492
Herd 2108e,Heifer,2020-10-05,2021-10-06,613841,366,dop_lact_basic,360,389,29,complete,360 to 389,ct_animal_lactations,1824
Herd 2108e,Heifer,2020-10-05,2021-10-06,613841,366,dop_lact_basic,360,389,29,complete,360 to 389,ct_animals,1824
Herd 2108e,Heifer,2020-10-05,2021-10-06,613841,366,dop_lact_basic,360,389,29,complete,360 to 389,ct_animal_time_periods,1677.1612021857923
Herd 2108e,Heifer,2020-10-05,2021-10-06,95353,366,dop_lact_basic,360,389,29,incomplete,360 to 389,ct_animal_lactations,354
Herd 2108e,Heifer,2020-10-05,2021-10-06,95353,366,dop_lact_basic,360,389,29,incomplete,360 to 389,ct_animals,354
Herd 2108e,Heifer,2020-10-05,2021-10-06,95353,366,dop_lact_basic,360,389,29,incomplete,360 to 389,ct_animal_time_periods,260.5273224043716
Herd 2108e,Heifer,2020-10-05,2021-10-06,573502,366,dop_lact_basic,390,419,29,complete,390 to 419,ct_animal_lactations,1670
Herd 2108e,Heifer,2020-10-05,2021-10-06,573502,366,dop_lact_basic,390,419,29,complete,390 to 419,ct_animals,1670
Herd 2108e,Heifer,2020-10-05,2021-10-06,573502,366,dop_lact_basic,390,419,29,complete,390 to 419,ct_animal_time_periods,1566.9453551912568
Herd 2108e,Heifer,2020-10-05,2021-10-06,115635,366,dop_lact_basic,390,419,29,incomplete,390 to 419,ct_animal_lactations,416
Herd 2108e,Heifer,2020-10-05,2021-10-06,115635,366,dop_lact_basic,390,419,29,incomplete,390 to 419,ct_animals,416
Herd 2108e,Heifer,2020-10-05,2021-10-06,115635,366,dop_lact_basic,390,419,29,incomplete,390 to 419,ct_animal_time_periods,315.94262295081967
